Awda,EL-SABIR,18,SICO_X,Jordan,rn994@sussex.ac.uk
Faisal,ABDALLAH,18,SICO_X,UAE,al777@sussex.ac.uk
Nesrin,YILDIRIM,18,SICO_X,Turkey,ak221@sussex.ac.uk
Nilam,PRAKASH,18,SICO_X,Pakistan,kp482@sussex.ac.uk
Aran,TRAN,18,SICO_X,Hong Kong,at371@sussex.ac.uk
Lin,MEIFEN,18,SICO_X,China,cc438@sussex.ac.uk
Leila,HAMADI,20,SICO_X,Jordan,vl766@sussex.ac.uk
Buğra,GÖKDEMIR,20,SICO_X,Turkey,al392@sussex.ac.uk
Cam,WANG,20,SICO_X,Thailand,cw992@sussex.ac.uk
Enver,KÖZEN,20,SICO_X,Turkey,ay799@sussex.ac.uk
Jiang,XIAODAN,18,SICO_X,China,as954@sussex.ac.uk
Shimomura,AKEMI,20,SICO_X,Japan,tw251@sussex.ac.uk
Omar,KHALIFA,18,SICO_X,UAE,ap427@sussex.ac.uk
Çağla,MENDERES,18,SICO_X,Turkey,kp340@sussex.ac.uk
Aisha,HAKIM,18,SICO_X,Morocco,al364@sussex.ac.uk
Fatima,AL-FARSI,19,SICO_X,Egypt,gl334@sussex.ac.uk
Samir,JAMAL,18,SICO_X,Egypt,sc236@sussex.ac.uk
Janya,MANN,20,SICO_X,Pakistan,ah625@sussex.ac.uk
Fatima,ZAYN,20,SICO_X,Jordan,rw941@sussex.ac.uk
Mei,ZHANG,18,SICO_X,Myanmar,mz922@sussex.ac.uk
